  X         Y          Z
  79.5250  15.9804     97.00
  79.5417  15.9804     95.00
  79.5583  15.9804    109.00
  79.5750  15.9804    125.00
  79.5917  15.9804     97.00
  79.6083  15.9804     99.00
  79.6250  15.9804     97.00
  79.6417  15.9804     91.00
  79.6583  15.9804     83.00
  79.6750  15.9804     81.00
  79.6917  15.9804     91.00
  79.7083  15.9804     91.00
  79.7250  15.9804     83.00
  79.7417  15.9804     79.00
  79.7583  15.9804     75.00
  79.7750  15.9804     69.00
  79.7917  15.9804     65.00
  79.8083  15.9804     69.00
  79.8250  15.9804     59.00
  79.8417  15.9804     55.00
  79.8583  15.9804     55.00
  79.8750  15.9804     63.00
  79.8917  15.9804     71.00
  79.9083  15.9804     87.00
  79.9250  15.9804    101.00
  79.9417  15.9804     89.00
  79.9583  15.9804    105.00
  79.9750  15.9804    105.00
  79.9917  15.9804     63.00
  80.0083  15.9804     61.00
  78.0083  15.9644    303.00
  78.0250  15.9644    293.00
  78.0417  15.9644    287.00
  78.0583  15.9644    289.00
  78.0750  15.9644    291.00
  78.0917  15.9644    291.00
  78.1083  15.9644    285.00
  78.1250  15.9644    271.00
  78.1417  15.9644    263.00
  78.1583  15.9644    269.00
  78.1750  15.9644    279.00
  78.1917  15.9644    279.00
  78.2083  15.9644    277.00
  78.2250  15.9644    271.00
  78.2417  15.9644    263.00
  78.2583  15.9644    267.00
  78.2750  15.9644    271.00
  78.2917  15.9644    281.00
  78.3083  15.9644    281.00
  78.3250  15.9644    275.00
  78.3417  15.9644    269.00
  78.3583  15.9644    267.00
  78.3750  15.9644    263.00
  78.3917  15.9644    263.00
  78.4083  15.9644    265.00
  78.4250  15.9644    265.00
  78.4417  15.9644    271.00
  78.4583  15.9644    273.00
  78.4750  15.9644    277.00
  78.4917  15.9644    281.00
  78.5083  15.9644    285.00
  78.5250  15.9644    285.00
  78.5417  15.9644    287.00
  78.5583  15.9644    291.00
  78.5750  15.9644    295.00
  78.5917  15.9644    303.00
  78.6083  15.9644    339.00
  78.6250  15.9644    387.00
  78.6417  15.9644    371.00
  78.6583  15.9644    391.00
  78.6750  15.9644    427.00
  78.6917  15.9644    459.00
  78.7083  15.9644    473.00
  78.7250  15.9644    479.00
  78.7417  15.9644    505.00
  78.7583  15.9644    543.00
  78.7750  15.9644    635.00
  78.7917  15.9644    651.00
  78.8083  15.9644    619.00
  78.8250  15.9644    611.00
  78.8417  15.9644    613.00
  78.8583  15.9644    631.00
  78.8750  15.9644    693.00
  78.8917  15.9644    711.00
  78.9083  15.9644    695.00
  78.9250  15.9644    651.00
  78.9417  15.9644    647.00
  78.9583  15.9644    593.00
  78.9750  15.9644    489.00
  78.9917  15.9644    455.00
  79.0083  15.9644    415.00
  79.0250  15.9644    433.00
  79.0417  15.9644    381.00
  79.0583  15.9644    361.00
  79.0750  15.9644    341.00
  79.0917  15.9644    327.00
  79.1083  15.9644    289.00
  79.1250  15.9644    275.00
  79.1417  15.9644    367.00
  79.1583  15.9644    361.00
  79.1750  15.9644    429.00
  79.1917  15.9644    363.00
  79.2083  15.9644    249.00
  79.2250  15.9644    207.00
  79.2417  15.9644    197.00
  79.2583  15.9644    179.00
  79.2750  15.9644    175.00
  79.2917  15.9644    169.00
  79.3083  15.9644    157.00
  79.3250  15.9644    149.00
  79.3417  15.9644    147.00
  79.3583  15.9644    213.00
  79.3750  15.9644    141.00
  79.3917  15.9644    131.00
  79.4083  15.9644    135.00
  79.4250  15.9644    153.00
  79.4417  15.9644    117.00
  79.4583  15.9644    109.00
  79.4750  15.9644    107.00
  79.4917  15.9644    105.00
  79.5083  15.9644     99.00
  79.5250  15.9644    107.00
  79.5417  15.9644    111.00
  79.5583  15.9644    137.00
  79.5750  15.9644    115.00
  79.5917  15.9644    105.00
  79.6083  15.9644    105.00
  79.6250  15.9644     91.00
  79.6417  15.9644     91.00
  79.6583  15.9644     89.00
  79.6750  15.9644     89.00
  79.6917  15.9644    101.00
  79.7083  15.9644    101.00
  79.7250  15.9644     97.00
  79.7417  15.9644     87.00
  79.7583  15.9644     79.00
  79.7750  15.9644     75.00
  79.7917  15.9644     81.00
  79.8083  15.9644     77.00
  79.8250  15.9644     67.00
  79.8417  15.9644     57.00
  79.8583  15.9644     51.00
  79.8750  15.9644     57.00
  79.8917  15.9644     63.00
  79.9083  15.9644     79.00
  79.9250  15.9644     73.00
  79.9417  15.9644     79.00
  79.9583  15.9644     73.00
  79.9750  15.9644     73.00
  79.9917  15.9644     71.00
  80.0083  15.9644     63.00
  78.0083  15.9484    311.00
  78.0250  15.9484    301.00
  78.0417  15.9484    295.00
  78.0583  15.9484    299.00
  78.0750  15.9484    305.00
  78.0917  15.9484    301.00
  78.1083  15.9484    295.00
  78.1250  15.9484    283.00
  78.1417  15.9484    271.00
  78.1583  15.9484    265.00
  78.1750  15.9484    265.00
  78.1917  15.9484    265.00
  78.2083  15.9484    265.00
  78.2250  15.9484    265.00
  78.2417  15.9484    263.00
  78.2583  15.9484    271.00
  78.2750  15.9484    281.00
  78.2917  15.9484    289.00
  78.3083  15.9484    289.00
  78.3250  15.9484    281.00
  78.3417  15.9484    277.00
  78.3583  15.9484    269.00
  78.3750  15.9484    263.00
  78.3917  15.9484    263.00
  78.4083  15.9484    263.00
  78.4250  15.9484    265.00
  78.4417  15.9484    267.00
  78.4583  15.9484    271.00
  78.4750  15.9484    279.00
  78.4917  15.9484    279.00
  78.5083  15.9484    279.00
  78.5250  15.9484    283.00
  78.5417  15.9484    287.00
  78.5583  15.9484    293.00
  78.5750  15.9484    297.00
  78.5917  15.9484    299.00
  78.6083  15.9484    305.00
  78.6250  15.9484    317.00
  78.6417  15.9484    381.00
  78.6583  15.9484    387.00
  78.6750  15.9484    445.00
  78.6917  15.9484    477.00
  78.7083  15.9484    499.00
  78.7250  15.9484    525.00
  78.7417  15.9484    529.00
  78.7583  15.9484    559.00
  78.7750  15.9484    601.00
  78.7917  15.9484    601.00
  78.8083  15.9484    599.00
  78.8250  15.9484    613.00
  78.8417  15.9484    627.00
  78.8583  15.9484    657.00
  78.8750  15.9484    727.00
  78.8917  15.9484    743.00
  78.9083  15.9484    703.00
  78.9250  15.9484    623.00
  78.9417  15.9484    515.00
  78.9583  15.9484    413.00
  78.9750  15.9484    421.00
  78.9917  15.9484    443.00
  79.0083  15.9484    431.00
  79.0250  15.9484    411.00
  79.0417  15.9484    373.00
  79.0583  15.9484    327.00
  79.0750  15.9484    297.00
  79.0917  15.9484    273.00
  79.1083  15.9484    267.00
  79.1250  15.9484    277.00
  79.1417  15.9484    259.00
  79.1583  15.9484    269.00
  79.1750  15.9484    269.00
  79.1917  15.9484    239.00
  79.2083  15.9484    225.00
  79.2250  15.9484    197.00
  79.2417  15.9484    183.00
  79.2583  15.9484    173.00
  79.2750  15.9484    165.00
  79.2917  15.9484    157.00
  79.3083  15.9484    155.00
  79.3250  15.9484    147.00
  79.3417  15.9484    153.00
  79.3583  15.9484    213.00
  79.3750  15.9484    131.00
  79.3917  15.9484    123.00
  79.4083  15.9484    119.00
  79.4250  15.9484    113.00
  79.4417  15.9484    109.00
  79.4583  15.9484    107.00
  79.4750  15.9484    107.00
  79.4917  15.9484    105.00
  79.5083  15.9484    107.00
  79.5250  15.9484    109.00
  79.5417  15.9484    127.00
  79.5583  15.9484    171.00
  79.5750  15.9484    129.00
  79.5917  15.9484    111.00
  79.6083  15.9484     99.00
  79.6250  15.9484     95.00
  79.6417  15.9484    103.00
  79.6583  15.9484     97.00
  79.6750  15.9484     99.00
  79.6917  15.9484    107.00
  79.7083  15.9484    109.00
  79.7250  15.9484     97.00
  79.7417  15.9484     91.00
  79.7583  15.9484     79.00
  79.7750  15.9484     87.00
  79.7917  15.9484     89.00
  79.8083  15.9484     79.00
  79.8250  15.9484     67.00
  79.8417  15.9484     57.00
  79.8583  15.9484     49.00
  79.8750  15.9484     51.00
  79.8917  15.9484     63.00
  79.9083  15.9484     71.00
  79.9250  15.9484     83.00
  79.9417  15.9484     85.00
  79.9583  15.9484     65.00
  79.9750  15.9484     65.00
  79.9917  15.9484     63.00
  80.0083  15.9484     69.00
  78.0083  15.9324    311.00
  78.0250  15.9324    309.00
  78.0417  15.9324    301.00
  78.0583  15.9324    305.00
  78.0750  15.9324    309.00
  78.0917  15.9324    305.00
  78.1083  15.9324    301.00
  78.1250  15.9324    293.00
  78.1417  15.9324    287.00
  78.1583  15.9324    277.00
